signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
42737,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:02:17.096733+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831776563,0.07030386364097607,0.02913459076814001,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
42709,KXHIGHCHI-26MAY12-T73,2026-05-12 22:57:05.317222+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5472075904871538,0.004820586245044824,0.29943614708675664,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42708,KXHIGHCHI-26MAY12-B79.5,2026-05-12 22:57:04.989039+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665985821,0.06007268032854263,0.013936760293849014,0.0036087269218552723,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.470000000000011
42707,KXHIGHCHI-26MAY12-B73.5,2026-05-12 22:57:04.419249+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.47270757595695123,0.09023623010492765,0.27803730045319436,0.8276701170136942,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42706,KXHIGHCHI-26MAY12-T80,2026-05-12 22:57:04.105729+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900725,0.1466959096489613,0.011505851292249864,0.021519689907736214,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42705,KXHIGHCHI-26MAY12-B77.5,2026-05-12 22:57:03.813743+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831776896,0.07261969509246013,0.029134590768141146,0.0052736201153218785,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.650000000000013
42704,KXHIGHCHI-26MAY12-B75.5,2026-05-12 22:57:03.528667+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117239,0.08316789433795446,0.12032687467477104,0.006916898648609158,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-18.310000000000016
42674,KXHIGHCHI-26MAY12-T73,2026-05-12 22:51:38.756730+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5472075904871538,0.004820586245044824,0.29943614708675664,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42673,KXHIGHCHI-26MAY12-B75.5,2026-05-12 22:51:38.451387+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117237,0.08316789433795446,0.12032687467477089,0.006916898648609158,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-18.310000000000016
42672,KXHIGHCHI-26MAY12-B73.5,2026-05-12 22:51:38.148304+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569504,0.09023623010492765,0.2780373004531953,0.8276701170136942,71.98200341796877,8.582764901033839,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
